Übung 4

pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin LOW
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
pin HIGH
